time,call
44936.8541666667,32
44936.8645833333,29
44936.8750000000,0
44937.3541666667,53
44937.3645833333,95
44937.3750000000,72
44937.3854166667,80
44937.3958333333,98
44937.4062500000,114
44937.4166666667,107
44937.4270833333,134
44937.4375000000,140
44937.4479166667,111
44937.4583333333,124
44937.4687500000,86
44937.4791666667,128
44937.4895833333,122
44937.5000000000,114
44937.5104166667,154
44937.5208333333,149
44937.5312500000,112
44937.5416666667,111
44937.5520833333,120
44937.5625000000,127
44937.5729166667,107
44937.5833333333,103
44937.5937500000,89
44937.6041666667,106
44937.6145833333,102
44937.6250000000,91
44937.6354166667,110
44937.6458333333,121
44937.6562500000,89
44937.6666666667,84
44937.6770833333,86
44937.6875000000,104
44937.6979166667,97
44937.7083333333,62
44937.7187500000,71
44937.7291666667,68
44937.7395833333,81
44937.7500000000,72
44937.7604166667,67
44937.7708333333,74
44937.7812500000,67
44937.7916666667,70
44937.8020833333,57
44937.8125000000,44
44937.8229166667,45
44937.8333333333,46
44937.8437500000,46
44937.8541666667,28
44937.8645833333,31
44937.8750000000,0
44938.3541666667,48
44938.3645833333,27
44938.3750000000,54
44938.3854166667,52
44938.3958333333,74
44938.4062500000,67
44938.4166666667,66
44938.4270833333,79
44938.4375000000,83
44938.4479166667,99
44938.4583333333,85
44938.4687500000,118
44938.4791666667,104
44938.4895833333,125
44938.5000000000,84
44938.5104166667,94
44938.5208333333,116
44938.5312500000,116
44938.5416666667,98
44938.5520833333,96
44938.5625000000,101
44938.5729166667,98
44938.5833333333,103
44938.5937500000,113
44938.6041666667,122
44938.6145833333,106
44938.6250000000,99
44938.6354166667,106
44938.6458333333,97
44938.6562500000,100
44938.6666666667,104
44938.6770833333,96
44938.6875000000,112
44938.6979166667,94
44938.7083333333,87
44938.7187500000,73
44938.7291666667,70
44938.7395833333,68
44938.7500000000,73
44938.7604166667,102
44938.7708333333,78
44938.7812500000,54
44938.7916666667,45
44938.8020833333,46
44938.8125000000,50
44938.8229166667,45
44938.8333333333,36
44938.8437500000,43
44938.8541666667,42
44938.8645833333,14
44938.8750000000,0
44939.3541666667,55
44939.3645833333,31
44939.3750000000,46
44939.3854166667,48
44939.3958333333,59
44939.4062500000,74
44939.4166666667,79
44939.4270833333,78
44939.4375000000,94
44939.4479166667,80
44939.4583333333,85
44939.4687500000,98
44939.4791666667,101
44939.4895833333,109
44939.5000000000,105
44939.5104166667,114
44939.5208333333,111
44939.5312500000,116
44939.5416666667,103
44939.5520833333,129
44939.5625000000,115
44939.5729166667,126
44939.5833333333,101
44939.5937500000,100
44939.6041666667,108
44939.6145833333,103
44939.6250000000,128
44939.6354166667,118
44939.6458333333,98
44939.6562500000,104
44939.6666666667,96
44939.6770833333,104
44939.6875000000,97
44939.6979166667,95
44939.7083333333,87
44939.7187500000,74
44939.7291666667,61
44939.7395833333,75
44939.7500000000,62
44939.7604166667,64
44939.7708333333,64
44939.7812500000,50
44939.7916666667,48
44939.8020833333,39
44939.8125000000,44
44939.8229166667,41
44939.8333333333,29
44939.8437500000,37
44939.8541666667,33
44939.8645833333,23
44939.8750000000,0
44940.3541666667,0
44940.3645833333,0
44940.3750000000,39
44940.3854166667,36
44940.3958333333,36
44940.4062500000,45
44940.4166666667,53
44940.4270833333,52
44940.4375000000,46
44940.4479166667,58
44940.4583333333,62
44940.4687500000,60
44940.4791666667,76
44940.4895833333,75
44940.5000000000,77
44940.5104166667,74
44940.5208333333,69
44940.5312500000,77
44940.5416666667,89
44940.5520833333,76
44940.5625000000,59
44940.5729166667,55
44940.5833333333,71
44940.5937500000,53
44940.6041666667,74
44940.6145833333,73
44940.6250000000,82
44940.6354166667,62
44940.6458333333,52
44940.6562500000,67
44940.6666666667,46
44940.6770833333,63
44940.6875000000,65
44940.6979166667,48
44940.7083333333,0
44940.7187500000,0
44940.7291666667,0
44940.7395833333,0
44940.7500000000,0
44940.7604166667,0
44940.7708333333,0
44940.7812500000,0
44940.7916666667,0
44940.8020833333,0
44940.8125000000,0
44940.8229166667,0
44940.8333333333,0
44940.8437500000,0
44940.8541666667,0
44940.8645833333,0
44940.8750000000,0
44941.3541666667,0
44941.3645833333,0
44941.3750000000,26
44941.3854166667,30
44941.3958333333,31
44941.4062500000,28
44941.4166666667,33
44941.4270833333,34
44941.4375000000,39
44941.4479166667,43
44941.4583333333,48
44941.4687500000,39
44941.4791666667,46
44941.4895833333,42
44941.5000000000,47
44941.5104166667,60
44941.5208333333,51
44941.5312500000,56
44941.5416666667,47
44941.5520833333,39
44941.5625000000,47
44941.5729166667,45
44941.5833333333,41
44941.5937500000,42
44941.6041666667,46
44941.6145833333,56
44941.6250000000,49
44941.6354166667,43
44941.6458333333,45
44941.6562500000,52
44941.6666666667,56
44941.6770833333,40
44941.6875000000,39
44941.6979166667,33
44941.7083333333,0
44941.7187500000,0
44941.7291666667,0
44941.7395833333,0
44941.7500000000,0
44941.7604166667,0
44941.7708333333,0
44941.7812500000,0
44941.7916666667,0
44941.8020833333,0
44941.8125000000,0
44941.8229166667,0
44941.8333333333,0
44941.8437500000,0
44941.8541666667,0
44941.8645833333,0
44941.8750000000,0
44942.3541666667,41
44942.3645833333,47
44942.3750000000,66
44942.3854166667,76
44942.3958333333,97
44942.4062500000,99
44942.4166666667,89
44942.4270833333,96
44942.4375000000,107
44942.4479166667,128
44942.4583333333,138
44942.4687500000,121
44942.4791666667,113
44942.4895833333,115
44942.5000000000,132
44942.5104166667,138
44942.5208333333,121
44942.5312500000,117
44942.5416666667,125
44942.5520833333,110
44942.5625000000,116
44942.5729166667,119
44942.5833333333,110
44942.5937500000,140
44942.6041666667,102
44942.6145833333,102
44942.6250000000,119
44942.6354166667,113
44942.6458333333,107
44942.6562500000,91
44942.6666666667,115
44942.6770833333,116
44942.6875000000,115
44942.6979166667,107
44942.7083333333,82
44942.7187500000,93
44942.7291666667,66
44942.7395833333,97
44942.7500000000,80
44942.7604166667,75
44942.7708333333,64
44942.7812500000,53
44942.7916666667,57
44942.8020833333,53
44942.8125000000,41
44942.8229166667,25
44942.8333333333,35
44942.8437500000,31
44942.8541666667,27
44942.8645833333,38
44942.8750000000,0
44943.3541666667,47
44943.3645833333,35
44943.3750000000,57
44943.3854166667,53
44943.3958333333,45
44943.4062500000,61
44943.4166666667,80
44943.4270833333,77
44943.4375000000,83
44943.4479166667,84
44943.4583333333,81
44943.4687500000,104
44943.4791666667,97
44943.4895833333,102
44943.5000000000,94
44943.5104166667,89
44943.5208333333,109
44943.5312500000,99
44943.5416666667,90
44943.5520833333,94
44943.5625000000,96
44943.5729166667,98
44943.5833333333,95
44943.5937500000,85
44943.6041666667,96
44943.6145833333,99
44943.6250000000,87
44943.6354166667,86
44943.6458333333,112
44943.6562500000,126
44943.6666666667,92
44943.6770833333,94
44943.6875000000,94
44943.6979166667,90
44943.7083333333,100
44943.7187500000,75
44943.7291666667,74
44943.7395833333,76
44943.7500000000,59
44943.7604166667,68
44943.7708333333,58
44943.7812500000,51
44943.7916666667,52
44943.8020833333,53
44943.8125000000,49
44943.8229166667,56
44943.8333333333,46
44943.8437500000,43
44943.8541666667,27
44943.8645833333,26
44943.8750000000,0
44944.3541666667,43
44944.3645833333,23
44944.3750000000,53
44944.3854166667,49
44944.3958333333,58
44944.4062500000,74
44944.4166666667,84
44944.4270833333,93
44944.4375000000,78
44944.4479166667,88
44944.4583333333,97
44944.4687500000,94
44944.4791666667,79
44944.4895833333,109
44944.5000000000,104
44944.5104166667,109
44944.5208333333,122
44944.5312500000,117
44944.5416666667,127
44944.5520833333,139
44944.5625000000,169
44944.5729166667,160
44944.5833333333,165
44944.5937500000,168
44944.6041666667,124
44944.6145833333,143
44944.6250000000,116
44944.6354166667,129
44944.6458333333,99
44944.6562500000,86
44944.6666666667,98
44944.6770833333,131
44944.6875000000,102
44944.6979166667,101
44944.7083333333,100
44944.7187500000,104
44944.7291666667,107
44944.7395833333,83
44944.7500000000,86
44944.7604166667,73
44944.7708333333,67
44944.7812500000,64
44944.7916666667,63
44944.8020833333,64
44944.8125000000,46
44944.8229166667,41
44944.8333333333,53
44944.8437500000,57
44944.8541666667,42
44944.8645833333,38
44944.8750000000,0
44945.3541666667,52
44945.3645833333,35
44945.3750000000,60
44945.3854166667,75
44945.3958333333,63
44945.4062500000,91
44945.4166666667,88
44945.4270833333,84
44945.4375000000,100
44945.4479166667,107
44945.4583333333,104
44945.4687500000,116
44945.4791666667,106
44945.4895833333,120
44945.5000000000,118
44945.5104166667,112
44945.5208333333,117
44945.5312500000,129
44945.5416666667,121
44945.5520833333,96
44945.5625000000,96
44945.5729166667,121
44945.5833333333,94
44945.5937500000,113
44945.6041666667,124
44945.6145833333,114
44945.6250000000,114
44945.6354166667,102
44945.6458333333,95
44945.6562500000,96
44945.6666666667,91
44945.6770833333,88
44945.6875000000,97
44945.6979166667,94
44945.7083333333,100
44945.7187500000,78
44945.7291666667,77
44945.7395833333,93
44945.7500000000,77
44945.7604166667,74
44945.7708333333,72
44945.7812500000,73
44945.7916666667,63
44945.8020833333,67
44945.8125000000,67
44945.8229166667,47
44945.8333333333,52
44945.8437500000,32
44945.8541666667,37
44945.8645833333,30
44945.8750000000,1
44946.3541666667,65
44946.3645833333,47
44946.3750000000,72
44946.3854166667,99
44946.3958333333,101
44946.4062500000,89
44946.4166666667,112
44946.4270833333,91
44946.4375000000,94
44946.4479166667,105
44946.4583333333,128
44946.4687500000,147
44946.4791666667,127
44946.4895833333,109
44946.5000000000,152
44946.5104166667,142
44946.5208333333,132
44946.5312500000,148
44946.5416666667,137
44946.5520833333,177
44946.5625000000,142
44946.5729166667,136
44946.5833333333,165
44946.5937500000,152
44946.6041666667,155
44946.6145833333,148
44946.6250000000,136
44946.6354166667,136
44946.6458333333,133
44946.6562500000,113
44946.6666666667,136
44946.6770833333,129
44946.6875000000,118
44946.6979166667,113
44946.7083333333,99
44946.7187500000,77
44946.7291666667,108
44946.7395833333,97
44946.7500000000,90
44946.7604166667,76
44946.7708333333,83
44946.7812500000,78
44946.7916666667,72
44946.8020833333,66
44946.8125000000,55
44946.8229166667,48
44946.8333333333,54
44946.8437500000,53
44946.8541666667,25
44946.8645833333,48
44946.8750000000,1
44947.3541666667,0
44947.3645833333,0
44947.3750000000,48
44947.3854166667,50
44947.3958333333,47
44947.4062500000,58
44947.4166666667,55
44947.4270833333,63
44947.4375000000,58
44947.4479166667,61
44947.4583333333,99
44947.4687500000,92
44947.4791666667,80
44947.4895833333,86
44947.5000000000,143
44947.5104166667,98
44947.5208333333,108
44947.5312500000,93
44947.5416666667,91
44947.5520833333,105
44947.5625000000,80
44947.5729166667,77
44947.5833333333,85
44947.5937500000,90
44947.6041666667,89
44947.6145833333,78
44947.6250000000,85
44947.6354166667,70
44947.6458333333,84
44947.6562500000,55
44947.6666666667,87
44947.6770833333,54
44947.6875000000,51
44947.6979166667,57
44947.7083333333,0
44947.7187500000,0
44947.7291666667,0
44947.7395833333,0
44947.7500000000,0
44947.7604166667,0
44947.7708333333,0
44947.7812500000,0
44947.7916666667,0
44947.8020833333,0
44947.8125000000,0
44947.8229166667,0
44947.8333333333,0
44947.8437500000,0
44947.8541666667,0
44947.8645833333,0
44947.8750000000,0
44948.3541666667,0
44948.3645833333,0
44948.3750000000,37
44948.3854166667,21
44948.3958333333,28
44948.4062500000,35
44948.4166666667,31
44948.4270833333,32
44948.4375000000,38
44948.4479166667,62
44948.4583333333,50
44948.4687500000,53
44948.4791666667,46
44948.4895833333,54
44948.5000000000,62
44948.5104166667,65
44948.5208333333,73
44948.5312500000,64
44948.5416666667,52
44948.5520833333,54
44948.5625000000,64
44948.5729166667,67
44948.5833333333,48
44948.5937500000,70
44948.6041666667,57
44948.6145833333,67
44948.6250000000,48
44948.6354166667,47
44948.6458333333,49
44948.6562500000,45
44948.6666666667,44
44948.6770833333,44
44948.6875000000,44
44948.6979166667,48
44948.7083333333,0
44948.7187500000,0
44948.7291666667,0
44948.7395833333,0
44948.7500000000,0
44948.7604166667,0
44948.7708333333,0
44948.7812500000,0
44948.7916666667,0
44948.8020833333,0
44948.8125000000,0
44948.8229166667,0
44948.8333333333,0
44948.8437500000,0
44948.8541666667,0
44948.8645833333,0
44948.8750000000,0
44949.3541666667,52
44949.3645833333,43
44949.3750000000,59
44949.3854166667,89
44949.3958333333,99
44949.4062500000,91
44949.4166666667,102
44949.4270833333,115
44949.4375000000,132
44949.4479166667,152
44949.4583333333,132
44949.4687500000,137
44949.4791666667,134
44949.4895833333,119
44949.5000000000,164
44949.5104166667,149
44949.5208333333,134
44949.5312500000,128
44949.5416666667,145
44949.5520833333,140
44949.5625000000,122
44949.5729166667,104
44949.5833333333,96
44949.5937500000,119
44949.6041666667,136
44949.6145833333,150
44949.6250000000,120
44949.6354166667,116
44949.6458333333,104
44949.6562500000,114
44949.6666666667,113
44949.6770833333,99
44949.6875000000,116
44949.6979166667,114
44949.7083333333,89
44949.7187500000,89
44949.7291666667,101
44949.7395833333,98
44949.7500000000,86
44949.7604166667,79
44949.7708333333,85
44949.7812500000,74
44949.7916666667,62
44949.8020833333,59
44949.8125000000,62
44949.8229166667,82
44949.8333333333,48
44949.8437500000,49
44949.8541666667,46
44949.8645833333,41
44949.8750000000,0
44950.3541666667,61
44950.3645833333,50
44950.3750000000,40
44950.3854166667,56
44950.3958333333,70
44950.4062500000,95
44950.4166666667,97
44950.4270833333,105
44950.4375000000,119
44950.4479166667,100
44950.4583333333,98
44950.4687500000,128
44950.4791666667,125
44950.4895833333,133
44950.5000000000,112
44950.5104166667,101
44950.5208333333,110
44950.5312500000,107
44950.5416666667,118
44950.5520833333,93
44950.5625000000,116
44950.5729166667,128
44950.5833333333,92
44950.5937500000,108
44950.6041666667,106
44950.6145833333,117
44950.6250000000,115
44950.6354166667,110
44950.6458333333,107
44950.6562500000,93
44950.6666666667,87
44950.6770833333,122
44950.6875000000,96
44950.6979166667,88
44950.7083333333,84
44950.7187500000,81
44950.7291666667,95
44950.7395833333,112
44950.7500000000,88
44950.7604166667,88
44950.7708333333,73
44950.7812500000,65
44950.7916666667,63
44950.8020833333,65
44950.8125000000,65
44950.8229166667,47
44950.8333333333,51
44950.8437500000,53
44950.8541666667,46
44950.8645833333,35
44950.8750000000,0
44951.3541666667,46
44951.3645833333,43
44951.3750000000,48
44951.3854166667,58
44951.3958333333,75
44951.4062500000,100
44951.4166666667,104
44951.4270833333,105
44951.4375000000,74
44951.4479166667,94
44951.4583333333,85
44951.4687500000,117
44951.4791666667,116
44951.4895833333,126
44951.5000000000,126
44951.5104166667,110
44951.5208333333,111
44951.5312500000,94
44951.5416666667,115
44951.5520833333,124
44951.5625000000,114
44951.5729166667,113
44951.5833333333,102
44951.5937500000,102
44951.6041666667,126
44951.6145833333,103
44951.6250000000,106
44951.6354166667,103
44951.6458333333,90
44951.6562500000,87
44951.6666666667,97
44951.6770833333,120
44951.6875000000,98
44951.6979166667,106
44951.7083333333,109
44951.7187500000,86
44951.7291666667,105
44951.7395833333,98
44951.7500000000,76
44951.7604166667,89
44951.7708333333,88
44951.7812500000,72
44951.7916666667,64
44951.8020833333,62
44951.8125000000,60
44951.8229166667,52
44951.8333333333,51
44951.8437500000,55
44951.8541666667,48
44951.8645833333,39
44951.8750000000,0
44952.3541666667,42
44952.3645833333,31
44952.3750000000,56
44952.3854166667,70
44952.3958333333,76
44952.4062500000,58
44952.4166666667,86
44952.4270833333,93
44952.4375000000,94
44952.4479166667,107
44952.4583333333,90
44952.4687500000,97
44952.4791666667,71
44952.4895833333,111
44952.5000000000,110
44952.5104166667,91
44952.5208333333,95
44952.5312500000,93
44952.5416666667,101
44952.5520833333,94
44952.5625000000,86
44952.5729166667,100
44952.5833333333,100
44952.5937500000,87
44952.6041666667,108
44952.6145833333,74
44952.6250000000,92
44952.6354166667,84
44952.6458333333,100
44952.6562500000,102
44952.6666666667,98
44952.6770833333,88
44952.6875000000,91
44952.6979166667,89
44952.7083333333,60
44952.7187500000,75
44952.7291666667,71
44952.7395833333,87
44952.7500000000,59
44952.7604166667,64
44952.7708333333,54
44952.7812500000,52
44952.7916666667,67
44952.8020833333,52
44952.8125000000,47
44952.8229166667,55
44952.8333333333,46
44952.8437500000,30
44952.8541666667,27
44952.8645833333,29
44952.8750000000,0
44953.3541666667,40
44953.3645833333,29
44953.3750000000,46
44953.3854166667,68
44953.3958333333,77
44953.4062500000,63
44953.4166666667,85
44953.4270833333,96
44953.4375000000,95
44953.4479166667,100
44953.4583333333,89
44953.4687500000,99
44953.4791666667,104
44953.4895833333,103
44953.5000000000,95
44953.5104166667,81
44953.5208333333,91
44953.5312500000,130
44953.5416666667,108
44953.5520833333,102
44953.5625000000,119
44953.5729166667,105
44953.5833333333,99
44953.5937500000,105
44953.6041666667,116
44953.6145833333,110
44953.6250000000,100
44953.6354166667,112
44953.6458333333,85
44953.6562500000,100
44953.6666666667,101
44953.6770833333,102
44953.6875000000,90
44953.6979166667,79
44953.7083333333,79
44953.7187500000,76
44953.7291666667,82
44953.7395833333,68
44953.7500000000,66
44953.7604166667,80
44953.7708333333,67
44953.7812500000,48
44953.7916666667,56
44953.8020833333,54
44953.8125000000,47
44953.8229166667,38
44953.8333333333,41
44953.8437500000,37
44953.8541666667,36
44953.8645833333,25
44953.8750000000,0
44954.3541666667,0
44954.3645833333,0
44954.3750000000,36
44954.3854166667,33
44954.3958333333,31
44954.4062500000,51
44954.4166666667,57
44954.4270833333,44
44954.4375000000,53
44954.4479166667,56
44954.4583333333,54
44954.4687500000,67
44954.4791666667,56
44954.4895833333,53
44954.5000000000,58
44954.5104166667,64
44954.5208333333,66
44954.5312500000,74
44954.5416666667,73
44954.5520833333,68
44954.5625000000,65
44954.5729166667,50
44954.5833333333,54
44954.5937500000,58
44954.6041666667,59
44954.6145833333,56
44954.6250000000,72
44954.6354166667,50
44954.6458333333,47
44954.6562500000,46
44954.6666666667,59
44954.6770833333,50
44954.6875000000,46
44954.6979166667,44
44954.7083333333,0
44954.7187500000,0
44954.7291666667,0
44954.7395833333,0
44954.7500000000,0
44954.7604166667,0
44954.7708333333,0
44954.7812500000,0
44954.7916666667,0
44954.8020833333,0
44954.8125000000,0
44954.8229166667,0
44954.8333333333,0
44954.8437500000,0
44954.8541666667,0
44954.8645833333,0
44954.8750000000,0
44955.3541666667,0
44955.3645833333,0
44955.3750000000,22
44955.3854166667,27
44955.3958333333,20
44955.4062500000,23
44955.4166666667,32
44955.4270833333,35
44955.4375000000,40
44955.4479166667,48
44955.4583333333,33
44955.4687500000,44
44955.4791666667,41
44955.4895833333,42
44955.5000000000,39
44955.5104166667,52
44955.5208333333,40
44955.5312500000,40
44955.5416666667,48
44955.5520833333,46
44955.5625000000,38
44955.5729166667,40
44955.5833333333,40
44955.5937500000,40
44955.6041666667,41
44955.6145833333,43
44955.6250000000,48
44955.6354166667,43
44955.6458333333,29
44955.6562500000,32
44955.6666666667,48
44955.6770833333,36
44955.6875000000,30
44955.6979166667,37
44955.7083333333,0
44955.7187500000,0
44955.7291666667,0
44955.7395833333,0
44955.7500000000,0
44955.7604166667,0
44955.7708333333,0
44955.7812500000,0
44955.7916666667,0
44955.8020833333,0
44955.8125000000,0
44955.8229166667,0
44955.8333333333,0
44955.8437500000,0
44955.8541666667,0
44955.8645833333,0
44955.8750000000,0
44956.3541666667,56
44956.3645833333,38
44956.3750000000,83
44956.3854166667,71
44956.3958333333,81
44956.4062500000,106
44956.4166666667,82
44956.4270833333,109
44956.4375000000,91
