date,year,month,time,call,,,,date,
5,2023,1,09:45-10:00,64,,05/01/2023,09:45,44931,09:45:00
5,2023,1,10:00-10:15,86,,05/01/2023,10:00,44931,10:00:00
5,2023,1,10:15-10:30,98,,05/01/2023,10:15,44931,10:15:00
5,2023,1,10:30-10:45,95,,05/01/2023,10:30,44931,10:30:00
5,2023,1,10:45-11:00,84,,05/01/2023,10:45,44931,10:45:00
5,2023,1,11:00-11:15,99,,05/01/2023,11:00,44931,11:00:00
5,2023,1,11:15-11:30,107,,05/01/2023,11:15,44931,11:15:00
5,2023,1,11:30-11:45,109,,05/01/2023,11:30,44931,11:30:00
5,2023,1,11:45-12:00,107,,05/01/2023,11:45,44931,11:45:00
5,2023,1,12:00-12:15,116,,05/01/2023,12:00,44931,12:00:00
5,2023,1,12:15-12:30,122,,05/01/2023,12:15,44931,12:15:00
5,2023,1,12:30-12:45,104,,05/01/2023,12:30,44931,12:30:00
5,2023,1,12:45-13:00,125,,05/01/2023,12:45,44931,12:45:00
5,2023,1,13:00-13:15,152,,05/01/2023,13:00,44931,13:00:00
5,2023,1,13:15-13:30,145,,05/01/2023,13:15,44931,13:15:00
5,2023,1,13:30-13:45,132,,05/01/2023,13:30,44931,13:30:00
5,2023,1,13:45-14:00,160,,05/01/2023,13:45,44931,13:45:00
5,2023,1,14:00-14:15,156,,05/01/2023,14:00,44931,14:00:00
5,2023,1,14:15-14:30,129,,05/01/2023,14:15,44931,14:15:00
5,2023,1,14:30-14:45,152,,05/01/2023,14:30,44931,14:30:00
5,2023,1,14:45-15:00,173,,05/01/2023,14:45,44931,14:45:00
5,2023,1,15:00-15:15,128,,05/01/2023,15:00,44931,15:00:00
5,2023,1,15:15-15:30,117,,05/01/2023,15:15,44931,15:15:00
5,2023,1,15:30-15:45,128,,05/01/2023,15:30,44931,15:30:00
5,2023,1,15:45-16:00,112,,05/01/2023,15:45,44931,15:45:00
5,2023,1,16:00-16:15,95,,05/01/2023,16:00,44931,16:00:00
5,2023,1,16:15-16:30,99,,05/01/2023,16:15,44931,16:15:00
5,2023,1,16:30-16:45,115,,05/01/2023,16:30,44931,16:30:00
5,2023,1,16:45-17:00,86,,05/01/2023,16:45,44931,16:45:00
5,2023,1,17:00-17:15,108,,05/01/2023,17:00,44931,17:00:00
5,2023,1,17:15-17:30,83,,05/01/2023,17:15,44931,17:15:00
5,2023,1,17:30-17:45,77,,05/01/2023,17:30,44931,17:30:00
5,2023,1,17:45-18:00,99,,05/01/2023,17:45,44931,17:45:00
5,2023,1,18:00-18:15,77,,05/01/2023,18:00,44931,18:00:00
5,2023,1,18:15-18:30,58,,05/01/2023,18:15,44931,18:15:00
5,2023,1,18:30-18:45,58,,05/01/2023,18:30,44931,18:30:00
5,2023,1,18:45-19:00,66,,05/01/2023,18:45,44931,18:45:00
5,2023,1,19:00-19:15,54,,05/01/2023,19:00,44931,19:00:00
5,2023,1,19:15-19:30,40,,05/01/2023,19:15,44931,19:15:00
5,2023,1,19:30-19:45,58,,05/01/2023,19:30,44931,19:30:00
5,2023,1,19:45-20:00,54,,05/01/2023,19:45,44931,19:45:00
5,2023,1,20:00-20:15,39,,05/01/2023,20:00,44931,20:00:00
5,2023,1,20:15-20:30,36,,05/01/2023,20:15,44931,20:15:00
5,2023,1,20:30-20:45,28,,05/01/2023,20:30,44931,20:30:00
5,2023,1,20:45-21:00,21,,05/01/2023,20:45,44931,20:45:00
5,2023,1,21:00-20:15,0,,05/01/2023,21:00,44931,21:00:00
6,2023,1,08:30-08:45,36,,06/01/2023,08:30,44932,08:30:00
6,2023,1,08:45-09:00,22,,06/01/2023,08:45,44932,08:45:00
6,2023,1,09:00-09:15,46,,06/01/2023,09:00,44932,09:00:00
6,2023,1,09:15-09:30,59,,06/01/2023,09:15,44932,09:15:00
6,2023,1,09:30-09:45,63,,06/01/2023,09:30,44932,09:30:00
6,2023,1,09:45-10:00,78,,06/01/2023,09:45,44932,09:45:00
